season,matchweek,home_club,away_club,final_score,goal_club,goal_scorer,minute
1992-1993,1,Arsenal,Norwich,2:4,Arsenal,Steve Bould,28
1992-1993,1,Arsenal,Norwich,2:4,Arsenal,Kevin Campbell,39
1992-1993,1,Arsenal,Norwich,2:4,Norwich,Mark Robins,69
1992-1993,1,Arsenal,Norwich,2:4,Norwich,David Phillips,72
1992-1993,1,Arsenal,Norwich,2:4,Norwich,Ruel Fox,82
1992-1993,1,Arsenal,Norwich,2:4,Norwich,Mark Robins,84
1992-1993,1,Chelsea,Oldham Athletic,1:1,Chelsea,Mick Harford,84
1992-1993,1,Chelsea,Oldham Athletic,1:1,Oldham Athletic,Nick Henry,86
1992-1993,1,Coventry,Middlesbrough,2:1,Coventry,John Williams,9
1992-1993,1,Coventry,Middlesbrough,2:1,Coventry,David Smith,51
1992-1993,1,Coventry,Middlesbrough,2:1,Middlesbrough,Paul Wilkinson,63
1992-1993,1,Crystal Palace,Blackburn,3:3,Crystal Palace,Mark Bright,37
1992-1993,1,Crystal Palace,Blackburn,3:3,Blackburn,Stuart Ripley,42
1992-1993,1,Crystal Palace,Blackburn,3:3,Crystal Palace,Gareth Southgate,63
1992-1993,1,Crystal Palace,Blackburn,3:3,Blackburn,Alan Shearer,66
1992-1993,1,Crystal Palace,Blackburn,3:3,Blackburn,Alan Shearer,81
1992-1993,1,Crystal Palace,Blackburn,3:3,Crystal Palace,Simon Osborn,90
1992-1993,1,Everton,Sheff Wed,1:1,Sheff Wed,Nigel Pearson,15
1992-1993,1,Everton,Sheff Wed,1:1,Everton,Barry Horne,44
1992-1993,1,Ipswich,Aston Villa,1:1,Ipswich,Gavin Johnson,31
1992-1993,1,Ipswich,Aston Villa,1:1,Aston Villa,Dalian Atkinson,84
1992-1993,1,Leeds,Wimbledon FC,2:1,Leeds,Lee Chapman,14
1992-1993,1,Leeds,Wimbledon FC,2:1,Wimbledon FC,Warren Barton,76
1992-1993,1,Leeds,Wimbledon FC,2:1,Leeds,Lee Chapman,86
1992-1993,1,Sheff Utd,Man Utd,2:1,Sheff Utd,Brian Deane,5
1992-1993,1,Sheff Utd,Man Utd,2:1,Sheff Utd,Brian Deane,50
1992-1993,1,Sheff Utd,Man Utd,2:1,Man Utd,Mark Hughes,61
1992-1993,1,Nottm Forest,Liverpool,1:0,Nottm Forest,Teddy Sheringham,29
1992-1993,1,Man City,QPR,1:1,Man City,David White,37
1992-1993,1,Man City,QPR,1:1,QPR,Andy Sinton,47
1992-1993,2,Blackburn,Arsenal,1:0,Blackburn,Alan Shearer,84
1992-1993,2,Wimbledon FC,Ipswich,0:1,Ipswich,Gavin Johnson,37
1992-1993,2,Aston Villa,Leeds,1:1,Aston Villa,Dalian Atkinson,77
1992-1993,2,Aston Villa,Leeds,1:1,Leeds,Gary Speed,84
1992-1993,2,Liverpool,Sheff Utd,2:1,Sheff Utd,Brian Deane,35
1992-1993,2,Liverpool,Sheff Utd,2:1,Liverpool,Mark Walters,43
1992-1993,2,Liverpool,Sheff Utd,2:1,Liverpool,Paul Stewart,65
1992-1993,2,Man Utd,Everton,0:3,Everton,Peter Beardsley,45
1992-1993,2,Man Utd,Everton,0:3,Everton,Robert Warzycha,80
1992-1993,2,Man Utd,Everton,0:3,Everton,Mo Johnston,90
1992-1993,2,Middlesbrough,Man City,2:0,Middlesbrough,Bernie Slaven,15
1992-1993,2,Middlesbrough,Man City,2:0,Middlesbrough,Bernie Slaven,17
1992-1993,2,Norwich,Chelsea,2:1,Chelsea,Graham Stuart,15
1992-1993,2,Norwich,Chelsea,2:1,Norwich,David Phillips,57
1992-1993,2,Norwich,Chelsea,2:1,Norwich,Mark Robins,59
1992-1993,2,Oldham Athletic,Crystal Palace,1:1,Oldham Athletic,Graeme Sharp,16
1992-1993,2,Oldham Athletic,Crystal Palace,1:1,Crystal Palace,Eddie McGoldrick,50
1992-1993,2,QPR,Southampton,3:1,Southampton,Matt Le Tissier,31
1992-1993,2,QPR,Southampton,3:1,QPR,Les Ferdinand,58
1992-1993,2,QPR,Southampton,3:1,QPR,David Bardsley,70
1992-1993,2,QPR,Southampton,3:1,QPR,Les Ferdinand,86
1992-1993,2,Sheff Wed,Nottm Forest,2:0,Sheff Wed,David Hirst,16
1992-1993,2,Sheff Wed,Nottm Forest,2:0,Sheff Wed,David Hirst,78
1992-1993,2,Spurs,Coventry,0:2,Coventry,John Williams,4
1992-1993,2,Spurs,Coventry,0:2,Coventry,John Williams,29
1992-1993,3,Aston Villa,Southampton,1:1,Aston Villa,Dalian Atkinson,64
1992-1993,3,Aston Villa,Southampton,1:1,Southampton,Micky Adams,79
1992-1993,3,Blackburn,Man City,1:0,Blackburn,Mike Newell,69
1992-1993,3,Man Utd,Ipswich,1:1,Ipswich,Chris Kiwomya,56
1992-1993,3,Man Utd,Ipswich,1:1,Man Utd,Denis Irwin,57
1992-1993,3,Middlesbrough,Leeds,4:1,Middlesbrough,Paul Wilkinson,7
1992-1993,3,Middlesbrough,Leeds,4:1,Middlesbrough,Paul Wilkinson,8
1992-1993,3,Middlesbrough,Leeds,4:1,Middlesbrough,Tommy Wright,47
1992-1993,3,Middlesbrough,Leeds,4:1,Middlesbrough,John Hendrie,59
1992-1993,3,Middlesbrough,Leeds,4:1,Leeds,Eric Cantona,68
1992-1993,3,Norwich,Everton,1:1,Everton,Peter Beardsley,55
1992-1993,3,Norwich,Everton,1:1,Norwich,Ruel Fox,67
1992-1993,3,Oldham Athletic,Nottm Forest,5:3,Oldham Athletic,Neil Adams,31
1992-1993,3,Oldham Athletic,Nottm Forest,5:3,Oldham Athletic,Graeme Sharp,38
1992-1993,3,Oldham Athletic,Nottm Forest,5:3,Oldham Athletic,Nick Henry,44
1992-1993,3,Oldham Athletic,Nottm Forest,5:3,Oldham Athletic,Gunnar Halle,46
1992-1993,3,Oldham Athletic,Nottm Forest,5:3,Oldham Athletic,Paul Bernard,59
1992-1993,3,Oldham Athletic,Nottm Forest,5:3,Nottm Forest,Stuart Pearce,66
1992-1993,3,Oldham Athletic,Nottm Forest,5:3,Nottm Forest,Gary Bannister,86
1992-1993,3,Oldham Athletic,Nottm Forest,5:3,Nottm Forest,Gary Bannister,88
1992-1993,3,QPR,Sheff Utd,3:2,QPR,Les Ferdinand,3
1992-1993,3,QPR,Sheff Utd,3:2,Sheff Utd,Alan Cork,4
1992-1993,3,QPR,Sheff Utd,3:2,QPR,Simon Barker,14
1992-1993,3,QPR,Sheff Utd,3:2,Sheff Utd,Brian Deane,63
1992-1993,3,QPR,Sheff Utd,3:2,QPR,Dennis Bailey,84
1992-1993,3,Sheff Wed,Chelsea,3:3,Sheff Wed,David Hirst,27
1992-1993,3,Sheff Wed,Chelsea,3:3,Sheff Wed,David Hirst,37
1992-1993,3,Sheff Wed,Chelsea,3:3,Chelsea,Vinnie Jones,49
1992-1993,3,Sheff Wed,Chelsea,3:3,Chelsea,Graham Stuart,57
1992-1993,3,Sheff Wed,Chelsea,3:3,Chelsea,Eddie Newton,64
1992-1993,3,Sheff Wed,Chelsea,3:3,Sheff Wed,Danny Wilson,81
1992-1993,3,Spurs,Crystal Palace,2:2,Spurs,Gordon Durie,16
1992-1993,3,Spurs,Crystal Palace,2:2,Crystal Palace,Eddie McGoldrick,21
1992-1993,3,Spurs,Crystal Palace,2:2,Crystal Palace,Eric Young,80
1992-1993,3,Spurs,Crystal Palace,2:2,Spurs,Steve Sedgley,88
1992-1993,3,Wimbledon FC,Coventry,1:2,Coventry,Micky Gynn,13
1992-1993,3,Wimbledon FC,Coventry,1:2,Coventry,Robert Rosario,46
1992-1993,3,Wimbledon FC,Coventry,1:2,Wimbledon FC,Dean Holdsworth,73
1992-1993,3,Liverpool,Arsenal,0:2,Arsenal,Anders Limpar,53
1992-1993,3,Liverpool,Arsenal,0:2,Arsenal,Ian Wright,80
